Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20
10.26,52.39,48.50,89.06,31.20,44.32,27.80,58.70,35.45,54.84,48.19,21.08,47.94,19.77,46.25,60.50,72.61,40.19,20.81,11.77
10.26,52.39,48.50,89.06,31.20,44.32,27.80,58.70,35.45,54.65,48.19,21.08,47.94,19.77,46.25,60.50,72.61,40.19,20.81,11.77
10.26,52.39,48.50,88.70,31.20,44.32,27.80,58.70,35.45,54.65,48.19,21.08,47.94,19.77,46.25,60.50,72.61,40.19,20.81,11.77
10.26,52.39,48.50,88.70,31.20,44.32,27.80,58.70,35.45,54.47,48.19,21.08,47.94,19.77,46.25,60.50,72.61,40.19,20.81,11.77
10.26,52.39,48.50,88.70,30.94,44.32,27.80,58.70,35.45,54.47,48.19,21.08,47.94,19.77,46.25,60.50,72.16,40.19,20.81,11.77
10.26,51.45,48.50,88.70,30.94,44.32,27.80,58.70,35.45,54.26,48.19,21.08,47.94,19.77,46.25,60.47,72.16,40.19,20.81,11.77
10.26,51.45,48.46,88.70,30.94,44.32,27.80,58.70,35.45,54.11,48.19,21.08,47.94,19.77,46.25,60.47,72.16,40.19,20.81,11.77
10.26,50.98,48.36,87.47,30.49,16.77,0.00,58.52,1.09,52.54,46.80,21.08,47.94,16.55,1.29,59.04,71.13,23.84,5.90,11.77
10.26,50.98,48.36,87.47,30.49,16.77,0.00,58.52,1.09,52.54,46.80,21.08,47.94,16.55,1.29,58.53,71.13,23.84,5.90,11.77
10.26,50.98,48.36,87.47,30.49,16.77,0.00,58.52,1.09,51.57,46.80,21.08,47.94,16.55,1.29,58.34,71.13,23.84,5.90,11.77
10.26,50.98,48.36,87.47,30.49,16.77,0.00,58.52,1.09,51.57,46.80,21.08,47.94,16.55,1.29,58.12,70.79,23.84,5.90,11.77
10.26,50.98,48.36,87.32,29.81,16.77,0.00,58.52,1.09,51.57,46.80,21.08,47.94,16.55,1.29,58.12,70.11,23.84,5.90,11.77
10.26,50.98,48.36,87.32,29.06,16.77,0.00,58.52,1.09,51.57,46.80,21.08,47.94,16.55,1.29,58.12,69.94,23.84,5.90,11.77
10.26,50.98,48.36,87.32,29.06,16.77,0.00,58.52,1.09,51.22,46.80,21.08,47.94,16.55,1.29,58.12,69.94,23.84,5.90,11.77
10.26,50.98,48.36,87.32,29.06,16.77,0.00,58.52,1.09,51.10,46.78,21.08,47.94,16.55,1.29,58.12,69.94,23.84,5.90,11.77
10.26,50.98,48.36,87.19,29.06,16.77,0.00,58.52,1.09,50.78,46.78,21.08,47.94,16.55,1.29,58.07,69.94,23.84,5.90,11.77
10.26,50.98,48.36,87.19,29.06,16.77,0.00,58.52,1.09,50.47,46.78,21.08,47.94,16.55,1.29,58.07,69.57,23.84,5.90,11.77
10.26,50.98,48.36,87.19,29.06,16.77,0.00,58.52,1.09,50.47,46.78,21.08,47.94,16.55,1.29,57.87,69.57,23.84,5.90,11.77
0.00,50.90,48.31,86.60,29.61,0.00,0.00,58.52,1.09,49.37,44.43,18.39,0.00,16.55,1.29,57.78,68.55,23.84,5.90,0.00
0.00,50.90,48.31,86.60,29.14,0.00,0.00,58.52,1.09,48.32,43.89,18.39,0.00,16.55,1.29,57.78,68.55,23.84,5.90,0.00
0.00,50.90,48.31,86.60,29.14,0.00,0.00,58.52,1.09,48.21,43.89,18.39,0.00,16.55,1.29,57.35,68.55,23.84,5.90,0.00
0.00,50.90,48.31,86.60,29.14,0.00,0.00,58.52,1.09,48.18,43.58,18.39,0.00,16.55,1.29,57.35,68.55,23.84,5.90,0.00
0.00,50.90,48.31,86.60,29.14,0.00,0.00,58.52,1.09,48.18,43.58,18.39,0.00,16.55,1.29,57.35,68.21,23.84,5.90,0.00
0.00,50.90,48.31,86.60,28.92,0.00,0.00,58.52,1.09,48.18,43.52,18.39,0.00,16.55,1.29,57.35,68.21,23.84,5.90,0.00
0.00,50.90,48.31,86.60,28.92,0.00,0.00,58.52,1.09,47.12,43.52,18.39,0.00,16.55,1.29,57.35,68.21,23.84,5.90,0.00
0.00,50.90,48.31,86.60,28.92,0.00,0.00,58.52,1.09,47.12,43.52,18.39,0.00,16.55,1.29,57.35,68.21,23.84,5.90,0.00
0.00,50.90,48.31,86.60,28.92,0.00,0.00,58.52,1.09,47.12,43.52,18.39,0.00,16.55,1.29,57.35,68.21,23.84,5.90,0.00
0.00,50.90,48.31,86.60,28.92,0.00,0.00,58.52,1.09,47.12,43.35,18.39,0.00,16.55,1.29,57.35,68.21,23.84,5.90,0.00
0.00,50.90,48.31,86.60,28.68,0.00,0.00,58.52,1.09,47.12,43.02,18.39,0.00,16.55,1.29,56.64,68.21,23.84,5.90,0.00
0.00,34.14,48.31,86.12,28.62,0.00,0.00,19.56,1.09,46.44,41.94,18.39,0.00,0.00,1.29,55.72,66.23,23.84,5.90,0.00
0.00,34.14,25.92,86.12,28.62,0.00,0.00,19.56,1.09,46.08,41.94,18.39,0.00,0.00,1.29,55.72,66.23,23.84,5.90,0.00
0.00,34.14,25.92,86.12,28.62,0.00,0.00,19.56,1.09,46.08,41.94,18.39,0.00,0.00,1.29,55.72,66.23,23.84,5.90,0.00
0.00,31.50,25.89,86.12,28.62,0.00,0.00,19.56,1.09,46.08,41.94,18.39,0.00,0.00,1.29,55.72,66.23,23.84,5.90,0.00
0.00,31.50,25.89,86.12,28.62,0.00,0.00,19.56,1.09,46.08,41.94,18.39,0.00,0.00,1.29,55.72,66.23,23.84,5.90,0.00
0.00,31.50,25.89,86.12,28.62,0.00,0.00,19.56,1.09,45.82,41.94,18.39,0.00,0.00,1.29,55.72,66.18,23.84,5.90,0.00
0.00,31.50,25.89,86.12,28.62,0.00,0.00,19.56,1.09,45.82,41.94,18.39,0.00,0.00,1.29,55.38,66.14,23.84,5.90,0.00
0.00,31.50,25.89,86.12,28.62,0.00,0.00,19.56,1.09,45.78,41.94,18.39,0.00,0.00,1.29,55.38,65.73,23.84,5.90,0.00
0.00,31.50,25.89,86.12,28.62,0.00,0.00,14.67,1.09,45.78,41.63,18.39,0.00,0.00,1.29,55.38,65.73,23.84,5.90,0.00
0.00,31.50,25.89,86.12,28.58,0.00,0.00,14.67,1.09,45.67,41.63,18.39,0.00,0.00,1.29,55.38,65.73,23.84,5.90,0.00
0.00,31.50,25.89,86.12,28.58,0.00,0.00,14.67,1.09,45.67,41.63,18.39,0.00,0.00,1.29,54.92,65.73,23.84,5.90,0.00
0.00,30.22,19.83,85.94,28.58,0.00,0.00,0.00,0.00,43.76,40.13,18.39,0.00,0.00,0.00,54.54,64.34,0.00,0.00,0.00
0.00,30.22,19.83,85.94,28.58,0.00,0.00,0.00,0.00,43.76,40.13,0.00,0.00,0.00,0.00,54.54,64.34,0.00,0.00,0.00
0.00,30.22,19.83,85.94,28.58,0.00,0.00,0.00,0.00,42.68,39.57,0.00,0.00,0.00,0.00,54.54,64.34,0.00,0.00,0.00
0.00,30.22,19.83,85.94,28.58,0.00,0.00,0.00,0.00,42.68,39.57,0.00,0.00,0.00,0.00,54.54,64.34,0.00,0.00,0.00
0.00,30.22,19.83,85.94,28.58,0.00,0.00,0.00,0.00,42.68,39.57,0.00,0.00,0.00,0.00,54.54,64.06,0.00,0.00,0.00
0.00,30.22,19.83,85.94,28.58,0.00,0.00,0.00,0.00,42.68,39.57,0.00,0.00,0.00,0.00,54.54,64.06,0.00,0.00,0.00
0.00,30.22,19.83,85.94,28.58,0.00,0.00,0.00,0.00,42.68,39.57,0.00,0.00,0.00,0.00,54.54,64.06,0.00,0.00,0.00
0.00,30.22,19.83,85.94,28.58,0.00,0.00,0.00,0.00,42.68,39.57,0.00,0.00,0.00,0.00,54.54,64.04,0.00,0.00,0.00
0.00,30.22,19.83,85.94,28.58,0.00,0.00,0.00,0.00,42.68,39.57,0.00,0.00,0.00,0.00,54.54,64.04,0.00,0.00,0.00
0.00,30.22,19.83,85.94,28.58,0.00,0.00,0.00,0.00,42.68,39.26,0.00,0.00,0.00,0.00,54.54,63.94,0.00,0.00,0.00
0.00,30.22,19.83,85.94,28.58,0.00,0.00,0.00,0.00,42.68,39.15,0.00,0.00,0.00,0.00,54.54,63.94,0.00,0.00,0.00
0.00,28.00,19.83,85.94,28.58,0.00,0.00,0.00,0.00,42.24,38.81,0.00,0.00,0.00,0.00,53.97,63.55,0.00,0.00,0.00
0.00,28.00,19.83,85.94,17.34,0.00,0.00,0.00,0.00,42.24,38.81,0.00,0.00,0.00,0.00,53.97,63.39,0.00,0.00,0.00
0.00,28.00,19.83,85.94,17.19,0.00,0.00,0.00,0.00,42.24,38.71,0.00,0.00,0.00,0.00,53.97,63.39,0.00,0.00,0.00
0.00,28.00,19.83,85.94,17.19,0.00,0.00,0.00,0.00,42.24,38.71,0.00,0.00,0.00,0.00,53.97,63.39,0.00,0.00,0.00
0.00,28.00,19.83,85.94,17.06,0.00,0.00,0.00,0.00,42.24,38.39,0.00,0.00,0.00,0.00,53.97,63.39,0.00,0.00,0.00
0.00,28.00,19.83,85.94,17.06,0.00,0.00,0.00,0.00,42.24,38.39,0.00,0.00,0.00,0.00,53.97,63.39,0.00,0.00,0.00
0.00,28.00,19.83,85.94,17.06,0.00,0.00,0.00,0.00,42.24,38.39,0.00,0.00,0.00,0.00,53.97,63.28,0.00,0.00,0.00
0.00,28.00,19.83,85.94,17.06,0.00,0.00,0.00,0.00,41.96,38.39,0.00,0.00,0.00,0.00,53.82,63.10,0.00,0.00,0.00
0.00,28.00,19.83,85.94,17.06,0.00,0.00,0.00,0.00,41.96,38.38,0.00,0.00,0.00,0.00,53.77,63.10,0.00,0.00,0.00
0.00,28.00,19.83,85.94,17.06,0.00,0.00,0.00,0.00,41.96,38.30,0.00,0.00,0.00,0.00,53.73,63.10,0.00,0.00,0.00
0.00,28.00,19.83,85.94,17.06,0.00,0.00,0.00,0.00,41.96,38.30,0.00,0.00,0.00,0.00,53.73,62.92,0.00,0.00,0.00
0.00,24.11,15.22,38.82,0.00,0.00,0.00,0.00,0.00,41.02,37.92,0.00,0.00,0.00,0.00,53.71,62.55,0.00,0.00,0.00
0.00,24.11,15.22,38.82,0.00,0.00,0.00,0.00,0.00,40.94,37.59,0.00,0.00,0.00,0.00,53.57,62.55,0.00,0.00,0.00
0.00,24.11,15.22,38.82,0.00,0.00,0.00,0.00,0.00,40.94,37.59,0.00,0.00,0.00,0.00,53.57,62.55,0.00,0.00,0.00
0.00,24.11,15.22,38.82,0.00,0.00,0.00,0.00,0.00,40.94,37.59,0.00,0.00,0.00,0.00,53.57,62.55,0.00,0.00,0.00
0.00,24.11,15.22,38.82,0.00,0.00,0.00,0.00,0.00,40.75,37.50,0.00,0.00,0.00,0.00,53.57,62.49,0.00,0.00,0.00
0.00,24.11,15.22,38.82,0.00,0.00,0.00,0.00,0.00,40.75,37.42,0.00,0.00,0.00,0.00,53.57,62.38,0.00,0.00,0.00
0.00,24.11,15.22,38.82,0.00,0.00,0.00,0.00,0.00,40.75,37.33,0.00,0.00,0.00,0.00,53.57,62.38,0.00,0.00,0.00
0.00,24.11,15.22,38.82,0.00,0.00,0.00,0.00,0.00,40.73,37.22,0.00,0.00,0.00,0.00,53.57,62.38,0.00,0.00,0.00
0.00,24.11,15.22,38.82,0.00,0.00,0.00,0.00,0.00,40.58,37.22,0.00,0.00,0.00,0.00,53.57,62.34,0.00,0.00,0.00
0.00,24.11,15.22,38.82,0.00,0.00,0.00,0.00,0.00,40.58,36.74,0.00,0.00,0.00,0.00,53.57,62.20,0.00,0.00,0.00
0.00,24.11,15.22,38.82,0.00,0.00,0.00,0.00,0.00,39.71,36.74,0.00,0.00,0.00,0.00,53.57,62.20,0.00,0.00,0.00
0.00,22.79,15.20,22.02,0.00,0.00,0.00,0.00,0.00,39.40,36.49,0.00,0.00,0.00,0.00,53.49,62.07,0.00,0.00,0.00
0.00,22.79,15.20,20.79,0.00,0.00,0.00,0.00,0.00,39.40,36.17,0.00,0.00,0.00,0.00,53.49,62.07,0.00,0.00,0.00
0.00,22.79,15.20,20.79,0.00,0.00,0.00,0.00,0.00,39.40,36.17,0.00,0.00,0.00,0.00,53.49,62.07,0.00,0.00,0.00
0.00,22.79,15.20,20.79,0.00,0.00,0.00,0.00,0.00,39.40,36.17,0.00,0.00,0.00,0.00,53.49,62.07,0.00,0.00,0.00
