Gen,hypercube0,hypercube1,hypercube2,hypercube3
327,0.00140793,0.046358207,0.149211021,0.038885215
328,0.00140793,0.043698566,0.146180667,0.038885215
329,0.001422652,0.043698566,0.146180667,0.038885215
330,0.001397797,0.041835572,0.146180667,0.038582566
331,0.000630736,0.043698566,0.146070284,0.038439527
332,0.000621,0.041799283,0.146070284,0.037318697
333,0.000624173,0.040963247,0.146070284,0.036835846
334,0.000614041,0.038630968,0.142107453,0.037138495
335,0.000614041,0.038011754,0.141074868,0.036835846
336,0.000621,0.038011754,0.142107453,0.036512606
337,0.000152352,0.035740349,0.140964484,0.036512606
338,0.000152352,0.035386472,0.140125701,0.036014464
339,0.000152352,0.035740349,0.138775872,0.033981874
340,0.000144973,0.033714516,0.140125701,0.032235154
341,1.26E-05,0.033714516,0.137632903,0.031029097
342,1.72E-05,0.033696779,0.137037079,0.030930921
343,2.87E-06,0.033696779,0.137037079,0.030930921
344,2.87E-06,0.033360639,0.133866796,0.030930921
345,2.87E-06,0.033696779,0.134352144,0.030930921
346,2.87E-06,0.032354479,0.133848998,0.030600521
347,2.87E-06,0.032596009,0.130824825,0.029901725
348,2.87E-06,0.031936756,0.131470383,0.029901725
349,2.87E-06,0.031936756,0.130824825,0.029871115
350,2.87E-06,0.031189864,0.129291757,0.0278564
351,2.87E-06,0.030260786,0.126824848,0.025522971
352,2.39E-06,0.030260786,0.129291757,0.023829382
353,2.15E-06,0.030260786,0.125521578,0.023829382
354,1.68E-06,0.029513894,0.126263511,0.022196499
355,1.68E-06,0.029513894,0.124073427,0.022196499
356,2.15E-06,0.029513894,0.124006399,0.022196499
357,1.68E-06,0.027965871,0.124420132,0.021767923
358,1.68E-06,0.029513894,0.124006399,0.021767923
359,1.68E-06,0.026894178,0.124006399,0.021385242
360,1.68E-06,0.026894178,0.121396128,0.021385242
361,1.68E-06,0.026894178,0.120411711,0.021107215
362,1.68E-06,0.025333791,0.118255876,0.020724534
363,1.68E-06,0.025092261,0.118255876,0.020604566
364,1.68E-06,0.025092261,0.117513942,0.02017599
365,1.68E-06,0.025092261,0.118255876,0.02017599
366,1.68E-06,0.025092261,0.116487605,0.019727966
367,1.68E-06,0.025092261,0.114566851,0.019727966
368,1.68E-06,0.02359414,0.113589836,0.018603402
